date,VND,CNY,JPY,KRW,EUR,INR,GBP,HKD,AUD
2015-01-01,21401.0,6.194942,120.2679,1100.835008,0.830151,63.30198,0.644102,7.755168,1.227915
2015-01-02,21401.0,6.194392,120.2839,1100.766649,0.830159,63.30107,0.6443,7.755108,1.228102
2015-01-03,21416.433333,6.193766,120.4524,1104.300015,0.833277,63.28911,0.652353,7.756406,1.236018
2015-01-04,21416.433333,6.194126,120.487899,1105.846681,0.837761,63.35145,0.655164,7.756153,1.236932
2015-01-05,21383.333333,6.204466,119.66,1108.903324,0.83798,63.38583,0.655667,7.755992,1.236622
2015-01-06,21439.283333,6.198784,118.868801,1102.76334,0.842061,63.52716,0.660442,7.754804,1.238168
2015-01-07,21423.083333,6.198144,119.2345,1100.189982,0.844742,63.29091,0.661818,7.754753,1.238158
2015-01-08,21406.166667,6.198018,119.6296,1097.895007,0.848124,62.80687,0.662979,7.754766,1.232187
2015-01-09,21380.35,6.194036,118.7298,1090.856665,0.844495,62.36057,0.6596,7.753287,1.21894
2015-01-10,21365.5,6.192516,118.6659,1088.581665,0.844424,62.25497,0.659615,7.753322,1.219055
2015-01-11,21365.5,6.191442,118.3745,1086.886665,0.84333,62.25525,0.658557,7.752987,1.216915
2015-01-12,21348.833333,6.187672,118.3876,1083.003315,0.845128,62.10259,0.659129,7.753037,1.22612
2015-01-13,21338.85,6.182272,118.0138,1081.994998,0.849214,62.05099,0.659592,7.753326,1.224683
2015-01-14,21332.466667,6.179778,117.4253,1082.311673,0.848114,62.13565,0.656415,7.754014,1.226384
2015-01-15,21335.8,6.173942,116.3066,1080.448348,0.860058,62.01321,0.658714,7.753851,1.220159
2015-01-16,21343.0,6.189518,117.4779,1077.813332,0.864415,61.76914,0.659857,7.751791,1.215476
2015-01-17,21353.316667,6.191802,117.3806,1078.181665,0.864649,61.76791,0.660048,7.751509,1.215317
2015-01-18,21337.833333,6.192786,117.4506,1078.763332,0.864827,61.73403,0.66098,7.751546,1.215289
2015-01-19,21347.833333,6.201666,117.6368,1079.061665,0.861627,61.66479,0.661942,7.752066,1.218908
2015-01-20,21358.4,6.198032,118.463101,1085.031665,0.865419,61.69989,0.660194,7.752395,1.224607
2015-01-21,21372.383333,6.195224,117.967401,1084.121649,0.860996,61.6241,0.660404,7.751424,1.234823
2015-01-22,21369.166667,6.193808,118.4309,1085.17999,0.88017,61.58715,0.66638,7.75267,1.247504
2015-01-23,21348.866667,6.20981,117.8701,1082.116657,0.892319,61.42375,0.666908,7.751563,1.264078
2015-01-24,21427.4,6.212876,117.9191,1081.03999,0.892319,61.39835,0.666908,7.751498,1.264078
2015-01-25,21326.166667,6.214534,117.6937,1079.913324,0.897457,61.48477,0.666426,7.752089,1.269415
2015-01-26,21322.833333,6.235164,118.317801,1081.178315,0.88974,61.44137,0.663071,7.752344,1.262525
2015-01-27,21341.983333,6.227182,117.856,1079.893332,0.878933,61.41233,0.65817,7.752201,1.260833
2015-01-28,21340.416667,6.228882,117.609599,1083.451665,0.886663,61.34769,0.66047,7.751892,1.26681
2015-01-29,21329.166667,6.227606,118.2208,1092.803315,0.883067,61.71702,0.663595,7.752167,1.287437
2015-01-30,21342.583333,6.231504,117.5993,1096.931681,0.885971,61.96769,0.664006,7.751948,1.287467
2015-01-31,21319.333333,6.23267,117.5775,1098.538348,0.885971,62.02887,0.664006,7.751952,1.287417
2015-02-01,21354.166667,6.235354,117.2372,1099.546681,0.883904,62.01145,0.662971,7.752577,1.2872
2015-02-02,21372.5,6.242494,117.622,1101.726649,0.882129,61.83551,0.665179,7.752635,1.282692
2015-02-03,21351.766667,6.23958,117.548,1096.799998,0.8717,61.67315,0.6599,7.754058,1.285691
2015-02-04,21333.816667,6.230141,117.2857,1090.243348,0.882353,61.78422,0.658823,7.752693,1.289313
2015-02-05,21273.333333,6.232536,117.521099,1088.733324,0.871319,61.74483,0.652506,7.75242,1.281665
2015-02-06,21326.65,6.226046,118.7793,1092.206681,0.883799,61.92867,0.656109,7.752884,1.282644
2015-02-07,21289.4,6.224384,118.8882,1093.038348,0.883799,61.93166,0.656109,7.752816,1.282644
2015-02-08,21282.0,6.225212,119.0925,1095.293348,0.883933,61.96691,0.656307,7.752592,1.287537
2015-02-09,21347.5,6.228572,118.6958,1096.17499,0.882969,62.13217,0.65725,7.753372,1.282667
2015-02-10,21356.333333,6.222678,119.305401,1095.206657,0.883677,62.26115,0.655529,7.753462,1.286886
2015-02-11,21316.033333,6.222798,120.083399,1099.731681,0.882138,62.33571,0.656171,7.754276,1.294514
2015-02-12,21327.233333,6.225156,119.258999,1105.371665,0.877018,62.22411,0.650095,7.754549,1.293485
2015-02-13,21325.266667,6.220958,118.9441,1100.464982,0.878082,62.14579,0.649371,7.755367,1.287771
2015-02-14,21318.583333,6.220068,118.7675,1097.991649,0.878082,62.10785,0.649371,7.755483,1.287771
2015-02-15,21332.166667,6.220052,118.6557,1097.791649,0.877424,62.09653,0.648948,7.755441,1.287225
2015-02-16,21332.166667,6.227482,118.5328,1100.700007,0.881052,62.19121,0.651039,7.758598,1.287337
2015-02-17,21331.85,6.232794,119.0888,1103.353348,0.876294,62.16515,0.651414,7.758777,1.279406
2015-02-18,21358.2,6.23278,118.7079,1107.908324,0.876952,62.16488,0.647596,7.758546,1.27981
2015-02-19,21336.233333,6.233576,119.0404,1110.511649,0.879843,62.22615,0.648689,7.758204,1.283194
2015-02-20,21325.183333,6.2338,118.9562,1111.154982,0.878775,62.17281,0.649387,7.758537,1.274833
2015-02-21,21333.466667,6.234042,118.9598,1111.463315,0.878659,62.19005,0.649382,7.758441,1.274955
2015-02-22,21333.466667,6.23389,119.0527,1111.176649,0.878324,62.14331,0.649756,7.758016,1.27521
2015-02-23,21321.666667,6.23475,118.871199,1108.71834,0.88215,62.20149,0.647002,7.7573,1.28183
2015-02-24,21324.916667,6.233038,118.9772,1111.063315,0.881994,62.11263,0.647153,7.756849,1.277606
2015-02-25,21350.666667,6.23795,118.9028,1103.691665,0.880023,61.94993,0.643971,7.756888,1.268273
2015-02-26,21356.716667,6.237038,119.2714,1101.865007,0.893216,61.78507,0.649029,7.75526,1.282213
2015-02-27,21351.0,6.244064,119.507799,1099.355015,0.893258,61.72265,0.647843,7.755381,1.280498
2015-02-28,21380.1,6.24639,119.582899,1099.800015,0.893148,61.70701,0.647843,7.755338,1.280369
2015-03-01,21345.0,6.247276,119.6763,1100.083348,0.894212,61.68683,0.648335,7.754756,1.28126
2015-03-02,21345.166667,6.251716,120.0472,1101.660007,0.894242,61.82987,0.650879,7.755351,1.288366
2015-03-03,21360.733333,6.252259,119.7353,1098.60999,0.894577,61.84427,0.651,7.755051,1.279601
2015-03-04,21367.516667,6.247736,119.7292,1099.101665,0.90244,62.19771,0.655049,7.755199,1.278847
2015-03-05,21351.966667,6.245256,120.037701,1100.661673,0.906493,62.29955,0.655771,7.755374,1.285199
2015-03-06,21364.5,6.241726,120.6339,1103.721673,0.92221,62.55781,0.664968,7.756695,1.2958
2015-03-07,21355.2,6.24162,120.705,1104.611673,0.92221,62.58194,0.664968,7.7569,1.2958
2015-03-08,21344.5,6.242398,120.779601,1107.20834,0.923382,62.59711,0.664848,7.756914,1.297089
2015-03-09,21347.833333,6.242458,121.1474,1112.784998,0.92171,62.61895,0.661144,7.759342,1.298784
2015-03-10,21378.566667,6.24172,121.1064,1120.864982,0.935721,62.73917,0.663847,7.760832,1.310478
2015-03-11,21359.383333,6.242622,121.447901,1126.809998,0.94812,62.76107,0.669603,7.768585,1.316249
2015-03-12,21368.633333,6.241802,121.3414,1126.798315,0.941487,62.57613,0.6717,7.767291,1.298147
2015-03-13,21392.216667,6.238828,121.374,1131.063348,0.952711,62.94369,0.678248,7.764663,1.309401
2015-03-14,21390.716667,6.238026,121.3886,1132.528348,0.952711,62.98603,0.67826,7.764576,1.309401
2015-03-15,21387.166667,6.238878,121.3859,1134.930015,0.953098,63.05203,0.678075,7.766852,1.311472
2015-03-16,21447.166667,6.242318,121.371901,1133.879998,0.94626,62.83415,0.674592,7.764702,1.308262
2015-03-17,21478.366667,6.231002,121.3381,1130.576681,0.944102,62.6856,0.678023,7.763278,1.311809
2015-03-18,21485.833333,6.212376,120.4561,1123.571673,0.923271,62.60465,0.669184,7.760195,1.290276
2015-03-19,21488.466667,6.182772,120.8659,1121.888324,0.93775,62.52611,0.677722,7.758463,1.307198
2015-03-20,21433.283333,6.191134,120.177101,1118.086665,0.924158,62.41462,0.668743,7.757573,1.286108
2015-03-21,21494.966667,6.191622,120.197301,1118.899998,0.924158,62.41003,0.668743,7.757545,1.286583
2015-03-22,21480.333333,6.191178,120.0079,1116.633332,0.921748,62.34404,0.668267,7.75737,1.283433
2015-03-23,21506.666667,6.197228,119.7469,1110.426673,0.912688,62.24867,0.668167,7.75665,1.266988
2015-03-24,21509.6,6.190508,119.761,1106.558324,0.916329,62.26756,0.673787,7.756308,1.270482
2015-03-25,21507.333333,6.194106,119.5123,1102.220015,0.911931,62.40513,0.671919,7.755239,1.275604
2015-03-26,21511.666667,6.192328,119.322701,1104.906649,0.919527,62.73262,0.673562,7.754523,1.277825
2015-03-27,21528.4,6.195346,119.1227,1103.946681,0.918242,62.55071,0.672218,7.753158,1.290149
2015-03-28,21555.616667,6.195082,119.1529,1104.048348,0.918242,62.54138,0.672218,7.753595,1.290149
2015-03-29,21530.833333,6.19499,119.213301,1103.805015,0.918452,62.54183,0.671389,7.753646,1.292224
2015-03-30,21537.5,6.19165,119.9103,1105.658348,0.923522,62.59025,0.675387,7.754515,1.306131
2015-03-31,21546.25,6.183712,119.94,1108.288348,0.931182,62.39897,0.674407,7.752942,1.312845
2015-04-01,21559.433333,6.181772,119.7355,1103.16334,0.928433,62.31298,0.674264,7.752984,1.315248
2015-04-02,21581.2,6.182224,119.7723,1096.49499,0.919325,62.2044,0.674146,7.752719,1.318223
2015-04-03,21579.65,6.159464,119.3499,1091.168317,0.9131,62.09862,0.670306,7.753139,1.309922
2015-04-04,21576.716667,6.158774,119.3036,1088.944984,0.9131,62.07962,0.670306,7.753025,1.309922
2015-04-05,21586.666667,6.157342,118.9312,1087.02165,0.909374,62.07063,0.670433,7.752101,1.310783
2015-04-06,21598.333333,6.167532,119.3798,1084.22334,0.914456,62.12997,0.671466,7.752338,1.315779
2015-04-07,21561.033333,6.179114,120.051199,1088.28834,0.924048,62.25672,0.674755,7.752226,1.308451
2015-04-08,21571.35,6.185014,120.1114,1091.156649,0.927274,62.22452,0.672263,7.750692,1.300597
2015-04-09,21614.15,6.18733,120.4435,1093.993348,0.93773,62.28846,0.679591,7.750385,1.299123
2015-04-10,21624.9,6.18926,120.198601,1093.27999,0.943437,62.26218,0.683438,7.750029,1.301642
2015-04-11,21628.783333,6.18962,120.220901,1093.63999,0.943437,62.28132,0.683438,7.750007,1.301642
2015-04-12,21598.333333,6.188662,120.242801,1093.45999,0.942969,62.28291,0.683224,7.750056,1.303011
2015-04-13,21598.333333,6.196132,120.1447,1097.923315,0.94604,62.39171,0.681636,7.750184,1.318241
2015-04-14,21593.733333,6.19238,119.5822,1094.941657,0.938739,62.36086,0.676778,7.752416,1.312415
2015-04-15,21597.1,6.187326,119.2557,1094.86834,0.93666,62.39246,0.674406,7.751512,1.302522
2015-04-16,21580.2,6.179622,119.1155,1089.421665,0.929358,62.3434,0.669804,7.752434,1.283858
2015-04-17,21569.183333,6.17822,118.967,1085.32334,0.925354,62.46487,0.668488,7.75205,1.284515
2015-04-18,21581.2,6.17781,118.9184,1083.575007,0.925347,62.45786,0.668555,7.751962,1.28479
2015-04-19,21581.666667,6.178008,118.9312,1083.02834,0.926075,62.48975,0.668663,7.751647,1.28153
2015-04-20,21589.666667,6.181348,119.186499,1081.954998,0.931034,62.95849,0.670994,7.750535,1.294579
2015-04-21,21586.266667,6.182038,119.5341,1083.106673,0.931376,62.84554,0.669942,7.750253,1.295617
2015-04-22,21585.4,6.178244,119.879399,1082.219998,0.9328,62.94021,0.665121,7.750185,1.290951
2015-04-23,21588.066667,6.180546,119.6295,1081.286665,0.924276,63.21613,0.664243,7.750057,1.285541
2015-04-24,21590.0,6.177072,119.128801,1079.496683,0.919677,63.60709,0.658443,7.750079,1.278384
2015-04-25,21595.0,6.177204,119.028801,1078.115016,0.91967,63.70039,0.658423,7.75017,1.277859
2015-04-26,21586.666667,6.176464,118.921601,1077.486667,0.920336,63.7001,0.659023,7.750038,1.277828
2015-04-27,21583.333333,6.196754,119.0794,1073.240015,0.919452,63.40013,0.656788,7.750821,1.273808
2015-04-28,21593.333333,6.185512,118.8946,1069.499998,0.911026,63.18412,0.651963,7.7503,1.246881
2015-04-29,21595.0,6.180966,119.047501,1069.18834,0.899516,63.38842,0.648148,7.750635,1.250365
2015-04-30,21595.0,6.1821,119.3616,1072.575,0.891794,63.47775,0.651404,7.75062,1.265485
2015-05-01,21595.0,6.185554,119.9514,1076.886657,0.892893,63.62812,0.66049,7.751137,1.273612
2015-05-02,21595.0,6.186074,120.0958,1078.236657,0.892893,63.64824,0.66049,7.751217,1.273612
2015-05-03,21595.0,6.187106,120.2018,1079.051657,0.893616,63.63259,0.659725,7.751774,1.276596
2015-05-04,21621.666667,6.188196,120.1479,1080.19834,0.896996,63.59393,0.661431,7.752494,1.275635
2015-05-05,21638.333333,6.185728,119.957,1081.599998,0.894203,63.45038,0.659043,7.75158,1.260714
2015-05-06,21643.333333,6.181888,119.5874,1080.625,0.881624,63.62019,0.656033,7.751964,1.254428
2015-05-07,21668.333333,6.18551,119.741001,1087.906657,0.889349,64.00698,0.649309,7.753369,1.264395
2015-05-08,21631.666667,6.187954,119.7103,1088.733348,0.892002,63.80934,0.647273,7.753267,1.259799
2015-05-09,21631.666667,6.186933,119.7869,1088.950015,0.891989,63.79698,0.647273,7.753462,1.259799
2015-05-10,21621.666667,6.186016,119.7928,1088.593348,0.893024,63.76065,0.647567,7.753587,1.262351
2015-05-11,21645.0,6.186976,120.0654,1092.326649,0.8967,63.92877,0.641811,7.752495,1.267381
2015-05-12,21703.333333,6.186594,119.8941,1094.029998,0.891574,64.11951,0.638237,7.751935,1.253073
2015-05-13,21728.566667,6.183198,119.3236,1096.018315,0.880625,64.070461,0.63524,7.751827,1.232341
2015-05-14,21773.333333,6.179932,119.273001,1091.268348,0.87673,63.60061,0.633885,7.751195,1.237605
2015-05-15,21765.0,6.183107,119.249,1087.005007,0.874589,63.52084,0.63589,7.750921,1.244519
2015-05-16,21765.0,6.183264,119.3035,1085.63834,0.874589,63.46048,0.63589,7.750848,1.244519
2015-05-17,21768.333333,6.183148,119.3933,1084.480007,0.873978,63.46113,0.635442,7.751022,1.244336
2015-05-18,21775.0,6.181658,119.863799,1086.87334,0.883792,63.65909,0.638717,7.750941,1.2515
2015-05-19,21799.166667,6.184546,120.486301,1090.098324,0.897272,63.7436,0.644587,7.751743,1.263027
2015-05-20,21805.833333,6.183266,121.039801,1094.864998,0.901434,63.69614,0.643607,7.752188,1.270247
2015-05-21,21811.666667,6.177258,121.0471,1094.524998,0.90022,63.64104,0.638575,7.753441,1.266647
2015-05-22,21806.666667,6.178366,121.462601,1093.94999,0.908077,63.5305,0.645624,7.752205,1.277106
